id,name,full_name,aliases,release_year,category_code,category,anatomy_primary,anatomy_target,modality_type,dimension,temporal,representation,scale,annotation_types,tasks,split_summary,access_level,license,paper_title,paper_venue,paper_doi,data_repository,data_url,data_doi,data_version,family_type,family_parent,family_related,verification_status,verification_date,notes
0704,CCAUI,Common Carotid Artery Ultrasound Images,Common Carotid Artery Ultrasound Images Dataset,2022,07,Vessel,Carotid artery,Common carotid artery,B-mode,2D,static,image,participant=11 | image=1100 | pair=1100,segmentation,segmentation,,open,CC BY 4.0,,,,Mendeley Data,https://data.mendeley.com/datasets/d4xt63mgjm/1,10.17632/d4xt63mgjm.1,1,primary,,,verified,2026-09-04,"The public release contains 1,100 carotid ultrasound images from 11 participants and 1,100 corresponding expert-verified masks, for 2,200 PNG files in total. Each participant contributes 100 images and was examined on the left and right sides at least once. The resource can support carotid geometry measurement, but no independent measurement ground-truth table is distributed; measurement is therefore treated as a mask-derived use rather than a native dataset task. No dedicated peer-reviewed dataset paper was identified."
0801,BITE,Brain Images of Tumors for Evaluation,,2012,08,Brain,Brain,Brain tumor | Resection cavity,B-mode | MRI,mixed,mixed,sequence | volume,patient=14,registration,registration,,open,,Online database of clinical MR and ultrasound images of brain tumors,Medical Physics,10.1118/1.4709600,Montreal Neurological Institute,https://nist.mni.mcgill.ca/bite-brain-images-of-tumors-for-evaluation-database/,,,primary,,,verified,2026-09-03,"BITE contains data from 14 brain-tumor patients organized into four downloadable groups: pre-/post-resection ultrasound, preoperative MRI with pre-resection ultrasound, pre-/post-operative MRI, and preoperative MRI with post-resection ultrasound. Ultrasound data include original 2D B-mode sweeps and reconstructed 3D volumes. Tumor segmentation masks are not provided. Images primarily use MINC format. Target-registration-error analysis is an evaluation derived from the landmark annotations rather than a separate native task."
0802,RESECT,REtroSpective Evaluation of Cerebral Tumors,REtroSpective Evaluation of Cerebral Tumors (RESECT),2017,08,Brain,Brain,Low-grade glioma | Neurosurgical resection region,B-mode | MRI,mixed,mixed,sequence | volume,case=23,registration,registration,,open,,REtroSpective Evaluation of Cerebral Tumors (RESECT): A clinical database of pre-operative MRI and intra-operative ultrasound in low-grade glioma surgeries,Medical Physics,10.1002/mp.12268,Sigma2 / NIRD,https://archive.sigma2.no/dataset/5D6BFC33-F58D-4F56-88E8-C40AF269D6F2,10.11582/2017.00004,,primary,,,verified,2026-09-03,"RESECT contains 23 low-grade-glioma surgery cases with preoperative MRI and intraoperative ultrasound. The core resource provides anatomical landmarks for MRI-iUS registration evaluation. Related extension resources add tumor and resection-cavity segmentation labels, but those extensions are not treated here as native annotations of the core RESECT entry. No explicit reusable data license was confirmed on the accessible landing page."
0803,Dataset of 3D ultrasound neuroimages,Dataset of 3D Ultrasound Neuroimages and Supporting Info,,2026,08,Brain,Neonatal brain,Transfontanellar brain,B-mode,3D,static,volume,file=9,,pretraining,,open,CC BY 4.0,,,,Zenodo,https://zenodo.org/records/19593033,10.5281/zenodo.19593033,,primary,,,verified,2026-09-03,"This is a small unlabeled 3D transfontanellar ultrasound neuroimage resource with supporting files. The earlier atlas entry listed data augmentation, 2D slice synthesis, GAN training, and representation research as tasks, but these are modeling uses rather than native annotations. Because the current schema requires at least one task for an unlabeled reusable image resource, it is categorized under the generic pretraining task. No consistent manual semantic-segmentation labels or dedicated peer-reviewed dataset paper were verified. The entry was updated from the earlier 2025 Zenodo record 14917169 to the 2026 record with supporting information."
0804,ReMIND,The Brain Resection Multimodal Imaging Database,,2023,08,Brain,Brain,Brain tumor | Brain parenchyma | Resection cavity | Residual tumor tissue | Resected tissue,B-mode | MRI,mixed,mixed,sequence | volume,case=114,segmentation | registration,segmentation | registration,,open,CC BY 4.0,ReMIND: The Brain Resection Multimodal Imaging Database,Scientific Data,10.1038/s41597-024-03295-z,The Cancer Imaging Archive,https://www.cancerimagingarchive.net/collection/remind/,10.7937/3RAG-D070,,primary,,,verified,2026-09-03,"ReMIND contains 114 neurosurgical cases with preoperative MRI, intraoperative MRI, and intraoperative ultrasound. Expert segmentations include tumor, brain parenchyma, resection cavity, and residual/resected tissue labels. Image-guided neurosurgery is the broader clinical application of the resource; the native structured tasks are represented here as segmentation and registration."
0805,BraTioUS,BraTioUS - Brain Tumor Intraoperative Ultrasound Dataset,,2026,08,Brain,Brain,Glioma | Brain tumor tissue,B-mode,2D,static,image,patient=142 | image=1669,segmentation,segmentation,,open,CC BY 4.0,,,,Zenodo,https://zenodo.org/records/20800464,10.5281/zenodo.20800464,,primary,,,verified,2026-09-03,"BraTioUS contains 1,669 intraoperative B-mode ultrasound images from 142 glioma patients, together with tumor segmentation masks and a metadata spreadsheet. Tumor/no-tumor image classification can be derived from the segmentation masks, but no independent native classification annotation is required, so classification is not encoded as a separate task. This entry uses the latest verified Zenodo record dated 2026-06-22; the concept DOI is 10.5281/zenodo.16887362."
0901,The Open Kidney Ultrasound Data Set,The Open Kidney Ultrasound Data Set,kidneyUS | Open Kidney US,2023,09,Kidney,Kidney,Native kidney | Transplanted kidney | Renal capsule | Renal cortex | Renal medulla | Central echogenic complex,B-mode,2D,static,image,patient=514 | image=514 | file=534,classification | segmentation | quality,classification | segmentation | quality_assessment,,application,CC BY-NC-SA,The Open Kidney Ultrasound Data Set,International Workshop on Advances in Simplifying Medical Ultrasound,10.1007/978-3-031-44521-7_15,GitHub and UBC OneDrive,https://github.com/rsingla92/kidneyUS#data-access,,,primary,,,verified,2026-09-02,"The dataset contains 514 unique anonymized B-mode kidney ultrasound images from 514 distinct patients, including native and transplanted kidneys. Twenty additional duplicate copies are included for annotation-consistency assessment, producing 534 delivered image files in total. In addition to kidney-type and view-type labels, the resource includes image-quality labels and fine-grained expert polygon annotations for the renal capsule, cortex, medulla, and central echogenic complex. The GitHub repository provides code and annotation resources, while source ultrasound images require registration and manual approval before release through UBC OneDrive."
1001,Prostate-MRI-US-Biopsy,Prostate MRI and Ultrasound With Pathology and Coordinates of Tracked Biopsy,,2020,10,Prostate,Prostate,Prostate gland | Prostate cancer-suspicious region | Prostate biopsy core,B-mode | MRI,3D,static,volume,patient=1151 | study=2799 | series=4819 | image=102397,segmentation | localization | grading | measurements | registration,segmentation | localization | grading | measurement | registration,,open,CC BY 4.0,Targeted biopsy in the detection of prostate cancer using an office based magnetic resonance ultrasound fusion device,The Journal of Urology,10.1016/j.juro.2012.08.095,The Cancer Imaging Archive,https://www.cancerimagingarchive.net/collection/prostate-mri-us-biopsy/,10.7937/TCIA.2020.A61IOC1A,2,primary,,,verified,2026-09-04,"This is an independent multimodal prostate imaging collection derived from tracked MRI-ultrasound fusion biopsy sessions. The current TCIA version contains 1,151 participants, 2,799 studies, 4,819 series, and 102,397 MR/US DICOM images. Ultrasound is 3D transrectal imaging. The collection also provides target and biopsy spreadsheets, STL prostate/ROI surfaces, biopsy overlay files, and a related DICOM-annotation resource. That external annotation resource is described here rather than placed in family.related because it does not have a four-digit atlas ID."
1002,μ-RegPro,MR to Ultrasound Registration for Prostate Challenge,mu-RegPro,2023,10,Prostate,Prostate,Prostate gland | Prostate anatomical landmarks | Prostate lesions,B-mode | MRI,3D,static,volume,patient=108 | pair=108 | volume=216,segmentation | landmarks | registration,registration | segmentation | landmark_detection,case: training=65 | validation=8 | test=35 [withheld],open,CC BY-NC-SA 4.0,,,,Zenodo,https://zenodo.org/records/8004388,10.5281/zenodo.8004388,1.1.0,primary,,,verified,2026-09-04,"μ-RegPro is an independent UCLH prostate MRI-TRUS registration dataset derived from participants in the SmartTarget Biopsy Clinical Trial and is unrelated to the UCLA/TCIA Prostate-MRI-US-Biopsy acquisition family (1001). Of 141 enrolled men, 108 had transverse ultrasound acquisitions suitable for the challenge and were included. The 108 cases were split into 65 training, 8 validation, and 35 test cases. The challenge homepage is https://muregpro.github.io/. The challenge-description resource has DOI 10.5281/zenodo.7844907, and the separately released 2026 holdout-test resource has DOI 10.5281/zenodo.19414480. These are retained in notes rather than under data.additional_resources because v3 data metadata intentionally supports only repository, url, doi, and version."
1003,Micro-Ultrasound Prostate Segmentation Dataset,Micro-Ultrasound Prostate Segmentation Dataset,MicroSeg dataset,2024,10,Prostate,Prostate,Prostate gland,Micro-ultrasound,3D,static,volume,patient=75 | volume=75,segmentation,segmentation,patient: training=55 | test=20,open,CC BY 4.0,MicroSegNet: A deep learning approach for prostate segmentation on micro-ultrasound images,Computerized Medical Imaging and Graphics,10.1016/j.compmedimag.2024.102326,Zenodo,https://zenodo.org/records/10475293,10.5281/zenodo.10475293,,primary,,,verified,2026-09-04,"This is an independent University of Florida micro-ultrasound acquisition family and is unrelated to the UCLA/TCIA Prostate-MRI-US-Biopsy dataset (1001) or the UCLH μ-RegPro MRI-TRUS registration dataset (1002). The associated MicroSegNet paper trains on 55 patients and evaluates on 20 held-out patients. Later studies commonly process the 3D scans as axial slices, but the atlas records the native public resource at the patient/volume level rather than treating derived slice counts as the primary dataset scale."
1101,Ultrasound Nerve Segmentation,Kaggle Ultrasound Nerve Segmentation Dataset,US Nerve Segmentation | Nerve Segment Dataset,2016,11,Nerve,Peripheral nerve,Brachial plexus,B-mode,2D,static,image,participant=47 | image=11143 | pair=5635,segmentation,segmentation,image: training=5635 [public] | test=5508 [withheld],application,,,,,Kaggle,https://www.kaggle.com/c/ultrasound-nerve-segmentation/data,,,primary,,,verified,2026-09-04,"The Kaggle competition ran from May 19 to August 18, 2016. Images are 2D grayscale ultrasound frames of the neck used to identify the brachial plexus for regional-anesthesia applications. The training set contains 5,635 images from 47 subjects and corresponding binary masks; the test set contains 5,508 unlabeled images from non-overlapping subjects. Kaggle notes that the dataset can contain identical or highly similar frames and that human annotations may include noise or mistakes. No dedicated peer-reviewed dataset paper or dataset DOI was identified. The competition page labels the license as ""Subject to Competition Rules"", so access.license is left null and the rule-acceptance requirement is represented under access.requirements."
1102,UBPD,Ultrasonic Brachial Plexus Dataset,Ultrasound Brachial Plexus Dataset,2022,11,Nerve,Peripheral nerve,Brachial plexus | Muscle | Vein | Artery,B-mode,2D,static,image,participant=101 | image=1052 | pair=1052,segmentation,segmentation,image: training=955 | test=97,application,,MallesNet: A multi-object assistance based network for brachial plexus segmentation in ultrasound images,Medical Image Analysis,10.1016/j.media.2022.102511,Author-hosted UBPD website,https://ubpd.worldwidetracing.com:9443/,,,primary,,,partial,2026-09-04,"UBPD was constructed from 101 patients for multi-structure segmentation in brachial plexus ultrasound. Professional anesthesiologists acquired the ultrasound data and manually annotated the brachial plexus nerve, muscle, vein, and artery using LabelMe. The paper contains an internal inconsistency in dataset size: the abstract, highlights, and contribution summary state 1,055 images, whereas Section 3 states 1,052 images and the reported experimental split contains 955 training plus 97 test images, also totaling 1,052. Therefore, 1,052 is used as the canonical image count. The original author-hosted dataset website was unreachable during verification on 2026-09-04. A current secondary ultrasound-dataset catalog describes the resource as requiring citation and contact with administrators for specific research-use terms; because the original access terms and files could not be independently inspected, the license is left null and verification.status is set to partial."
1103,Regional-US Brachial Plexus,Brachial Plexus and Needle Annotations Data in Ultrasound Videos,Regional-US Brachial Plexus Dataset | Brachial Plexus and Needle Annotations,2022,11,Nerve,Peripheral nerve,Brachial plexus,B-mode,2D,cine,video,participant=227 | video=227 | frame=41000,classification | segmentation | landmarks,classification | segmentation | landmark_detection,,open,,Nerve Block Target Localization and Needle Guidance for Autonomous Robotic Ultrasound Guided Regional Anesthesia,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS58592.2024.10801467,GitHub,https://github.com/Regional-US/brachial_plexus,,,primary,,,verified,2026-09-04,"This is a multi-device brachial-plexus ultrasound video dataset designed for ultrasound-guided regional-anesthesia research. The public repository was created and the first data were uploaded in December 2022; needle annotation data were added subsequently. The repository contains scanner-specific data from Esaote MyLab One, Sonosite M-Turbo, and Butterfly iQ systems, together with brachial-plexus annotations, active-contour-assisted masks, and a Sonosite needle-annotation subset. Although bounding-box annotation text files are present, the repository explicitly states that individual boxes have no independent meaning and that their union is used to define the nerve-plexus mask; therefore, object detection is not listed as a native dataset task. The authors report 227 subjects, 227 videos, and approximately 41,000 annotated frames. Detailed device-specific counts account for 226 videos and 40,200 frames, while the repository additionally contains one annotated demo video; the exact correspondence of this demo video to the reported total is not explicitly documented. The repository does not provide a machine-readable open-source/data license, but states that the deidentified videos are shared under a non-commercial data use agreement."
1201,Ovarian Ultrasound Image Dataset,Ovarian Ultrasound Image Dataset,Multiclass Ovarian Disorder Dataset,2025,12,Ovary,Ovary,Ovary,B-mode,2D,static,image,image=6879,classification,classification,,open,CC0: Public Domain,,,,Kaggle,https://www.kaggle.com/datasets/ucimachinelearning/ovarian-ultrasound-image-dataset,,,primary,,,partial,2026-09-04,"This Kaggle release contains 6,879 grayscale ovarian ultrasound images for five-class ovarian-condition classification: healthy ovary, dominant follicle, polycystic ovary, simple cyst, and complex cyst. The class counts reported on the data card sum exactly to 6,879 images. No segmentation, detection, landmark, or measurement annotations are documented, so classification is treated as the only native task. Dataset provenance is incompletely documented. The Kaggle page does not report the number of patients, acquisition institution or country, scanner, transducer, acquisition period, official train/validation/test split, or a dedicated dataset publication. The uploader account is named ""UCI Machine Learning"", but its Kaggle profile identifies it as Universal Computing Innovations; therefore, this dataset should not be described as an official UCI Machine Learning Repository resource. The Kaggle data card lists the dataset license as CC0: Public Domain. Verification is consequently marked partial despite the dataset being publicly downloadable."
1202,PCOS Dataset,Figshare Polycystic Ovary Syndrome Ultrasound Dataset,Figshare PCOS Dataset | PCOS Ultrasound Dataset,2024,12,Ovary,Ovary,Ovary,B-mode,2D,static,image,image=12680,classification,classification,,open,CC BY 4.0,,,,Figshare,https://figshare.com/articles/dataset/PCOS_Dataset/27682557,10.6084/m9.figshare.27682557.v1,1,aggregate,,,partial,2026-09-04,"This resource was posted to Figshare on 2024-11-12 by Indirani A and is intended for automated PCOS detection and explainable-AI research. The Figshare metadata explicitly states that the images were sourced from publicly available datasets, so this entry is classified as an aggregate rather than a primary clinical dataset. The primary Figshare record reports 12,680 ultrasound images but does not document the contributing source datasets, patient count, acquisition institutions, scanner information, official train/validation/test split, or class distribution. Later publications using the same Figshare DOI generally describe the data as grayscale ovarian ultrasound images for binary PCOS classification and commonly report 11,784 usable images, comprising 6,784 PCOS and 5,000 non-PCOS images. This discrepancy cannot be fully reconciled from the public metadata, so 12,680 is retained as the canonical repository count and verification.status is set to partial. No dedicated associated dataset publication is listed by Figshare or the NLM Dataset Catalog. Later papers using the resource are therefore treated as downstream studies rather than as the dataset's primary paper."
1203,MMOTU,Multi-Modality Ovarian Tumor Ultrasound Image Dataset,Multi-Modality Ovarian Tumor Ultrasound | OTU_2D + OTU_CEUS,2022,12,Ovary,Ovary,Ovarian tumor,B-mode | Color Doppler | CEUS,2D,static,image,patient=294 | image=1639 | pair=1639,classification | segmentation,classification | segmentation,image: training=1070 | test=569,open,,Unsupervised cross-domain semantic segmentation on multi-modality ovarian tumor ultrasound data,Pattern Recognition,10.1016/j.patcog.2025.112311,Google Drive via official GitHub repository,https://drive.google.com/drive/folders/1c5n0fVKrM9-SZE1kacTXPt1pt844iAs1?usp=sharing,,,primary,,,verified,2026-09-04,"MMOTU is a single-center multi-modality ovarian tumor ultrasound dataset collected at Beijing Shijitan Hospital, Capital Medical University. It contains 1,639 images from 294 patients and consists of the OTU_2D and OTU_CEUS subsets. The GitHub repository was created in July 2022 and the original arXiv description was released in 2022, so 2022 is used as the dataset release year. The work was subsequently published in Pattern Recognition under the revised title ""Unsupervised cross-domain semantic segmentation on multi-modality ovarian tumor ultrasound data."" Pixel-wise semantic annotations and global tumor-category annotations were produced by 27 Obstetrics and Gynecology experts. Each image was annotated by one expert and checked by another, with pathological reports used as reference. The official MMOTU segmentation code uses two classes, ""background"" and ""OvarianTumor"", and binary mask files with the suffix ""_binary.PNG"". Although unsupervised domain adaptation is the principal methodological setting investigated in the associated paper, it is not listed as a native dataset task because it is an experimental learning setting rather than an additional annotation type. The GitHub repository contains an Apache-2.0 LICENSE inherited from MMSegmentation and explicitly copyrighted to the MMSegmentation authors. No separate dataset-specific license was identified for the MMOTU image files, so access.license is conservatively left null."
1204,PCOSGen,PCOSGen Dataset for Automatic Polycystic Ovary Syndrome Classification,Auto-PCOS Dataset,2023,12,Ovary,Ovary,Ovary | Polycystic ovary,Ultrasound,2D,static,image,image=4668,classification,classification,image: training=3200 [public] | test=1468 [public],open,,Auto-PCOS Classification Challenge,Authorea Preprints,10.22541/au.170629258.80995260/v1,Zenodo,https://zenodo.org/records/14592001,10.5281/zenodo.14592001,,aggregate,,,partial,2026-09-04,"PCOSGen was developed for the Auto-PCOS Classification Challenge and aggregates ovarian ultrasound frames collected from multiple internet resources, including YouTube, ultrasoundcases.info, and Kaggle. The dataset therefore does not represent a single prospective or retrospective clinical cohort and is classified as an aggregate dataset. The original PCOSGen-train release appeared on Zenodo in December 2023 under record 10430727. The authors subsequently released an updated training dataset under record 14592001 on January 3, 2025 and explicitly requested that researchers use the updated release rather than previous versions. It contains 3,200 images, with inconsistent resolutions but most images approximately 300 x 300 pixels. PCOSGen-test contains 1,468 images. Test labels were initially withheld during the Auto-PCOS challenge and were later made public. The updated test release is Zenodo record 14591782. Together, the official training and test resources contain 4,668 ultrasound images. The latest Zenodo descriptions provide two levels of classification: a general normal-versus-abnormal label and, for abnormal images, a specific indication of whether a polycystic ovary is visible. No native segmentation, detection, landmark, or measurement annotations are documented. A dataset-specific license could not be unambiguously confirmed from the currently retrievable Zenodo metadata, so access.license is conservatively left null."
1301,OPULM PALA,Open Platform for Ultrasound Localization Microscopy - Performance Assessment of Localization Algorithms,,2020,13,Animal,Microvasculature,Microbubbles | Vascular structures,Ultrafast ultrasound | CEUS,2D,sequence,sequence,acquisition=6,localization | tracking,localization | tracking | reconstruction,,open,CC BY 4.0,Performance benchmarking of microbubble-localization algorithms for ultrasound localization microscopy,Nature Biomedical Engineering,10.1038/s41551-021-00824-8,Zenodo,https://zenodo.org/records/4343435,10.5281/zenodo.4343435,,primary,,1302,verified,2026-09-03,"OPULM PALA contains six benchmark datasets for ultrasound localization microscopy, including simulated and in vivo acquisitions. The resource is designed to assess microbubble localization, trajectory recovery, and vascular reconstruction. Algorithm benchmarking is the evaluation purpose rather than an additional native dataset task. Atlas entry 1302 is related through the same ULM benchmarking work but represents a distinct rat-brain acquisition and public data release, so neither resource is treated as the parent of the other."
1302,In vivo rat brain for Ultrasound Localization Microscopy,In vivo Rat Brain for Ultrasound Localization Microscopy: Raw and Beamformed Data,,2023,13,Animal,Rat brain,Cerebral microvasculature,RF | B-mode | Ultrafast ultrasound,2D,sequence,RF | sequence,file=23 | frame=~200000,,beamforming | reconstruction | signal_analysis,,open,CC BY 4.0,Performance benchmarking of microbubble-localization algorithms for ultrasound localization microscopy,Nature Biomedical Engineering,10.1038/s41551-021-00824-8,Zenodo,https://zenodo.org/records/7883227,10.5281/zenodo.7883227,,primary,,1301,verified,2026-09-03,"This resource contains in vivo rat-brain ultrasound-localization-microscopy acquisitions released as raw RF data and beamformed ultrasound data, together with acquisition metadata. It does not provide a unified semantic disease or anatomical label set. Microbubble localization and tracking are important downstream ULM processing steps, but the reusable native resource is primarily suited to beamforming, reconstruction, and signal-analysis research. It shares the associated benchmarking paper with atlas entry 1301 but is a distinct acquisition and release rather than a subset or derived version of 1301."
1303,Mouse Brain Tumor Ultrasound,High-Resolution Ultrasound Data for AI-Based Segmentation in Mouse Brain Tumor,,2025,13,Animal,Mouse brain,Brain tumor,B-mode,2D,mixed,image | video,image=1856,segmentation,segmentation,,open,CC BY 4.0,High-Resolution Ultrasound Data for AI-Based Segmentation in Mouse Brain Tumor,Scientific Data,10.1038/s41597-025-05619-z,Figshare,https://doi.org/10.6084/m9.figshare.27237894,10.6084/m9.figshare.27237894,,primary,,,verified,2026-09-03,"The dataset contains 1,856 high-resolution mouse-brain ultrasound images, including 1,448 tumor images and 408 no-tumor images. Its native supervision is pixel-wise brain-tumor segmentation. Binary tumor/no-tumor classification is directly derivable from the segmentation annotations and is therefore not duplicated as a separate native task."
1304,Open-3DULM / Transcranial mice brain,3D Transcranial Ultrasound Localization Microscopy in Awake Mice,,2025,13,Animal,Mouse brain,Transcranial cerebral microvasculature,Ultrafast ultrasound,mixed,sequence,sequence,subject=5 | video=370,,reconstruction | signal_analysis,,open,CC BY 4.0,3D Transcranial Ultrasound Localization Microscopy in Awake Mice: Protocol and Open-Source Pipeline,Communications Engineering,10.1038/s44172-025-00415-4,Zenodo,https://zenodo.org/records/14289690,,,primary,,,verified,2026-09-03,"Open-3DULM contains spatiotemporal transcranial ultrasound-localization- microscopy acquisitions from five awake mice and an open processing pipeline. The resource is intended for 3D/4D ULM reconstruction, microvascular analysis, and cerebral blood-flow research. Because no unified semantic or quantitative ground-truth annotation set is documented in the atlas source, microvascular analysis and blood-flow quantification are treated as downstream analyses; the native technical tasks are represented as reconstruction and signal analysis."
1305,Spinal Cord Injury Ultrasound Dataset,Open-source Ultrasound Dataset for Spinal Cord Injury Localization and Anatomical Segmentation,,2025,13,Animal,Porcine spinal cord,Spinal cord | Spinal cord injury,B-mode,2D,mixed,image,image=10223,classification | segmentation | detection,classification | segmentation | detection,,open,,A novel open-source ultrasound dataset with deep learning benchmarks for spinal cord injury localization and anatomical segmentation,Scientific Reports,10.1038/s41598-025-16275-z,GitHub,https://github.com/HEPIUSLAB/ultrasound_spinal_cord_dataset,,,primary,,,verified,2026-09-03,"The dataset contains 10,223 sagittal B-mode porcine spinal-cord ultrasound images, comprising 4,467 pre-injury and 5,756 post-injury images. It provides injury-status labels, anatomical segmentation masks, and injury-localization bounding boxes for 2,245 images. Because the spatial injury annotations are bounding boxes, the native spatial task is encoded as detection rather than duplicated as both localization and detection. A specific reusable dataset license was not confirmed."
1306,ULMShare,ULMShare Ultrasound Localization Microscopy Data Resource,,2026,13,Animal,Mouse microvasculature,Microvascular network,Raw channel data | Ultrafast ultrasound,mixed,sequence,raw_channel | sequence,subject=61 | acquisition=99 | file=unknown,tracking,tracking | reconstruction | signal_analysis,,open,,,,,Federated Research Data Repository (FRDR),https://www.frdr-dfdr.ca/repo/dataset/bc2125d8-65be-494b-95d2-b25fbb7adec1,10.20383/103.01550,,primary,,,verified,2026-09-03,"ULMShare contains 99 ultrasound-localization-microscopy acquisitions from 61 mice and is approximately 30 TB in size. It provides raw channel data, acquisition metadata, and selected ULM reconstructions and microbubble trajectories. Vascular imaging and algorithm benchmarking are downstream research uses rather than separate native tasks. No dedicated peer-reviewed dataset paper or explicit reusable dataset license was verified."
1901,Clinical Ultrasound Image Repository,Clinical Ultrasound Image Repository,,,19,Multi-anatomy,Multiple,Abdomen | Heart | Obstetric and gynecologic anatomy,Ultrasound,2D,mixed,mixed,subject=2000 | study=2000,,pretraining,,open,CC BY-NC 4.0,,,,AWS Registry of Open Data,https://registry.opendata.aws/clinical-ultrasound-image-data/,,,primary,,,verified,2026-09-02,"The repository contains 2,000 clinical ultrasound studies from 2,000 subjects, with approximately one third of the resource assigned to abdominal, cardiac, and obstetric/gynecologic imaging. The data are distributed as clinical DICOM resources with metadata but without a unified manual semantic-label set. Metadata-based anatomy or view studies are possible downstream uses, but no consistent atlas-wide anatomy/view ground truth is encoded as a native task. Because the resource is primarily useful as a broad unlabeled multi-anatomy imaging collection, it is categorized under pretraining. Anonymous S3 access is available, and the resource is managed by the MONAI Development Team."
1902,USenhance 2023,Ultrasound Image Enhancement Challenge 2023,,2023,19,Multi-anatomy,Multiple,Thyroid | Carotid artery | Liver | Kidney | Breast,Ultrasound,2D,static,image,patient=109 | pair=1050 | image=2464,,enhancement,image: training=2100 [public] | test=364 [withheld],open,CC BY-SA,,,,Grand Challenge,https://ultrasoundenhance2023.grand-challenge.org/datasets/,,,primary,,,verified,2026-09-03,"The challenge design proposed 1,500 low/high-quality pairs from 109 patients, with 1,050 training pairs and 450 test pairs. The current public downloads expose the full 1,050 training pairs but only 364 low-quality test inputs, with no public test reference images. The missing 86 proposed test cases correspond to the breast range under the released ID scheme. Public training pairs comprise 202 breast, 286 carotid-artery, 122 kidney, 149 liver, and 291 thyroid pairs. The challenge-design DOI 10.5281/zenodo.7841250 is retained as a verification source rather than encoded as a dataset paper. The proposal states CC BY-SA for data use without specifying a version; its own document record is licensed CC BY-ND 4.0, which applies to the proposal rather than the ultrasound image archive."
1903,Chinese multi-organ ultrasound image-text datasets,"Chinese Breast, Thyroid, and Liver Ultrasound Image-Text Datasets Used for Ultrasound Report Generation",,2024,19,Multi-anatomy,Multiple,Breast | Thyroid | Liver,Ultrasound,2D,static,image,patient=7390 | record=7364 | image=17149,reports,report_generation,record: training=5152 [public] | validation=738 [public] | test=1474 [public],open,,Ultrasound Report Generation With Cross-Modality Feature Alignment via Unsupervised Guidance,IEEE Transactions on Medical Imaging,10.1109/TMI.2024.3424978,Google Drive via author GitHub repository,https://drive.google.com/file/d/1-Fz9J58ntoO8ZoAEKzm3fxm4jvOWrAuz/view?usp=drive_link,,,primary,,,verified,2026-09-03,"The paper reports 7,390 patients rather than 7,390 image-report pairs and does not separately state a report count. The current public archive contains 7,364 JSON records and 17,149 images. Every released record has a non-empty finding field and two image-path entries, although 21 records repeat the same image path rather than naming two distinct images. The manifests reference 14,707 distinct image files, leaving 2,442 released images unreferenced. The public record count is 26 lower than the paper cohort count across the three organs. No dataset-specific license was identified. Unsupervised report clustering, pseudo-label learning, and image-text feature alignment are methodological settings of the associated study rather than additional native annotation tasks."
1904,Ultrasound Normal Kidney Image,Ultrasound Normal Kidney Image Computer Vision Dataset,,2025,19,Multi-anatomy,Abdomen,Kidney | Liver | Spleen,B-mode,2D,static,image,image=1080,segmentation,segmentation,image: training=1080 [public],open,CC BY 4.0,,,,Roboflow Universe,https://universe.roboflow.com/jeevaws/ultrasound-normal-kidney-image,,1,primary,,,partial,2026-09-02,"Roboflow v1 contains 1,080 images, all assigned to the training set, with no preprocessing or augmentation reported. Although the project name emphasizes normal kidney imaging, the released segmentation classes also include liver and spleen; the atlas therefore records this entry under multi-anatomy with Abdomen as the primary anatomy and Kidney, Liver, and Spleen as targets. The label ""Normal-Kidney"" is preserved as a released segmentation class rather than interpreted as a separate anatomical organ. Patient count, acquisition institution, equipment, selection criteria, and source provenance are not documented. During verification, page metadata were available through search indexing, but direct archive access was blocked by Cloudflare; verification is therefore marked partial."
2001,GIST514-DB,GIST514-DB,,2022,20,Other,Gastrointestinal tract,Gastrointestinal stromal tumor | Leiomyoma,B-mode,2D,static,image,case=514 | image=514,classification | detection | segmentation | localization,classification | detection | segmentation | localization,,open,,Query2: Query over Queries for Improving Gastrointestinal Stromal Tumour Detection in an Endoscopic Ultrasound,Computers in Biology and Medicine,10.1016/j.compbiomed.2022.106424,GitHub,https://github.com/WuJunde/Query2,,,primary,,,verified,2026-09-02,"GIST514-DB contains 514 endoscopic-ultrasound images/cases: 263 gastrointestinal stromal tumors and 251 leiomyomas. Native annotations include class labels, lesion bounding boxes, lesion contours/instance annotations, and anatomical-location information. Endoscopic acquisition is recorded in acquisition.note while the underlying imaging mode is normalized to B-mode."
2002,LEPset,LEPset,,2023,20,Other,Pancreas,Pancreatic cancer,B-mode,2D,static,image,patient=420 | image=11500 | image=3500 | image=8000,classification,classification | pretraining,,open,Scientific research only; non-commercial,,,,Zenodo,https://zenodo.org/records/8041285,10.5281/zenodo.8041285,,primary,,,verified,2026-09-02,"LEPset contains 11,500 endoscopic-ultrasound images from 420 patients. The labeled subset contains 3,500 images for pancreatic-cancer versus non-pancreatic-cancer classification, while another 8,000 images are unlabeled. The unlabeled portion is retained as a native pretraining resource rather than encoding self-supervised learning as a separate learning-paradigm task. The Zenodo record is a data resource rather than a dedicated peer-reviewed paper, so paper is set to null."
